Event name,FAR_min,p_astro,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chi_eff,chi_eff_lower,chi_eff_upper,,First appears in,catalog.shortName,GPS time (s)
GW191216_213338,1.00E-05,0.99,12.1,-2.3,4.6,7.7,-1.9,1.6,8.33,-0.19,0.22,0.11,-0.06,0.13,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1260567236.4
GW191222_033537,1.00E-05,0.99,45.1,-8.0,10.9,34.7,-10.5,9.3,33.8,-5,7.1,-0.04,-0.25,0.2,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1261020955.1
GW191230_180458,5.02E-02,0.95,49.4,-9.6,14.0,37.0,-12.0,11.0,36.5,-5.6,8.2,-0.05,-0.31,0.26,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1261764316.4
GW200105_162426,2.04E-01,0.36,8.9,-1.5,1.2,1.9,-0.2,0.3,3.41,-0.07,0.08,-0.01,-0.15,0.11,,https://doi.org/10.3847/2041-8213/ac082e,O3_Discovery_Papers,1262276684.0
GW200112_155838,1.00E-05,0.99,35.6,-4.5,6.7,28.3,-5.9,4.4,27.4,-2.1,2.6,0.06,-0.15,0.15,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1262879936.0
GW200115_042309,1.00E-05,0.99,5.9,-2.5,2.0,1.44,-0.29,0.85,2.43,-0.07,0.05,-0.15,-0.42,0.24,,https://doi.org/10.3847/2041-8213/ac082e,GWTC-3-confident,1263097407.7
GW200128_022011,4.29E-03,0.99,42.2,-8.1,11.6,32.6,-9.2,9.5,32,-5.5,7.5,0.12,-0.25,0.24,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1264213229.9
GW200129_065458,1.00E-05,0.99,34.5,-3.2,9.9,28.9,-9.3,3.4,27.2,-2.3,2.1,0.11,-0.16,0.11,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1264316116.4
GW200202_154313,1.00E-05,0.99,10.1,-1.4,3.5,7.3,-1.7,1.1,7.49,-0.2,0.24,0.04,-0.06,0.13,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1264693411.5
GW200208_130117,3.11E-04,0.99,37.8,-6.2,9.2,27.4,-7.4,6.1,27.7,-3.1,3.6,-0.07,-0.27,0.22,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1265202095.9
GW200209_085452,4.64E-02,0.95,35.6,-6.8,10.5,27.1,-7.8,7.8,26.7,-4.2,6,-0.12,-0.3,0.24,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1265273710.1
GW200216_220804,0.35,0.77,51.0,-13.0,22.0,30.0,-16.0,14.0,32.9,-8.5,9.3,0.1,-0.36,0.34,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1265926102.8
GW200219_094415,9.94E-04,0.99,37.5,-6.9,10.1,27.9,-8.4,7.4,27.6,-3.8,5.6,-0.08,-0.29,0.23,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1266140673.1
GW200224_222234,1.00E-05,0.99,40.0,-4.5,6.9,32.5,-7.2,5.0,31.1,-2.6,3.2,0.1,-0.15,0.15,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1266618172.4
GW200225_060421,1.00E-05,0.99,19.3,-3.0,5.0,14.0,-3.5,2.8,14.2,-1.4,1.5,-0.12,-0.28,0.17,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1266645879.3
GW200302_015811,1.12E-01,0.91,37.8,-8.5,8.7,20.0,-5.7,8.1,23.4,-3,4.7,0.01,-0.26,0.25,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1267149509.5
GW200311_115853,1.00E-05,0.99,34.2,-3.8,6.4,27.7,-5.9,4.1,26.6,-2,2.4,-0.02,-0.2,0.16,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1267963151.3
GW200316_215756,1.00E-05,0.99,13.1,-2.9,10.2,7.8,-2.9,1.9,8.75,-0.55,0.62,0.13,-0.1,0.27,,https://dcc.ligo.org/LIGO-P2000318/public,GWTC-3-confident,1268431094.1
